ImageFile,targ_side,colour,distNo,correctAnswer,targetType,n,breakMessage.started_mean,breakMessage.started_raw,breakMessage.stopped_raw,buttonBox_12.corr_mean,buttonBox_12.corr_raw,buttonBox_12.corr_std,buttonBox_12.keys_mean,buttonBox_12.keys_raw,buttonBox_12.keys_std,buttonBox_12.rt_mean,buttonBox_12.rt_raw,buttonBox_12.rt_std,buttonBox_12.started_raw,buttonBox_12.stopped_raw,buttonBox_13.keys_raw,buttonBox_13.rt_mean,buttonBox_13.rt_raw,buttonBox_13.rt_std,buttonBox_13.started_raw,buttonBox_13.stopped_raw,buttonBox_2.keys_raw,buttonBox_2.rt_mean,buttonBox_2.rt_raw,buttonBox_2.rt_std,buttonBox_2.started_raw,buttonBox_2.stopped_raw,buttonBox_9.keys_mean,buttonBox_9.keys_raw,buttonBox_9.keys_std,buttonBox_9.rt_mean,buttonBox_9.rt_raw,buttonBox_9.rt_std,buttonBox_9.started_raw,buttonBox_9.stopped_raw,dispStimuli.started_raw,dispStimuli.stopped_raw,polygon.started_raw,polygon.stopped_raw,targetTypeInstruction.started_raw,targetTypeInstruction.stopped_raw,order
images/exp1a_trial_126_colour0_distractors0_r.png,r,0,0,3,0,1.0,434.9995836019865,434.9995836019865,,1.0,1.0,0.0,3.0,3.0,0.0,0.5544529557228088,0.5544529557228088,0.0,'434.45142',,,,,,,,,,,,,,2.0,2.0,0.0,0.3896735906600952,0.3896735906600952,0.0,'434.01776',,'434.45142',,'434.01776',,,,91.0
images/exp2a_trial_250_colour3_distractors4_l.png,l,3,4,1,0,1.0,435.9328779599804,435.9328779599804,,1.0,1.0,0.0,1.0,1.0,0.0,0.47064170241355896,0.47064170241355896,0.0,'435.4681',,,,,,,,,,,,,,2.0,2.0,0.0,0.4063364863395691,0.4063364863395691,0.0,'435.0157',,'435.4681',,'435.0157',,,,92.0
images/exp2b_trial_129_colour1_distractors4_r.png,r,1,4,3,0,1.0,437.1162911139894,437.1162911139894,,1.0,1.0,0.0,3.0,3.0,0.0,0.7559813857078552,0.7559813857078552,0.0,'436.36633',,,,,,,,,,,,,,2.0,2.0,0.0,0.3705998361110687,0.3705998361110687,0.0,'435.94937',,'436.36633',,'435.94937',,,,93.0
images/exp1a_trial_196_colour1_distractors31_r.png,r,1,31,3,0,1.0,438.8829727829783,438.8829727829783,,1.0,1.0,0.0,3.0,3.0,0.0,1.3836791515350342,1.3836791515350342,0.0,'437.49945',,,,,,,,,,,,,,2.0,2.0,0.0,0.3211655616760254,0.3211655616760254,0.0,'437.1324',,'437.49945',,'437.1324',,,,94.0
images/exp2b_trial_221_colour3_distractors31_l.png,l,3,31,1,0,1.0,440.09893682497784,440.09893682497784,,1.0,1.0,0.0,1.0,1.0,0.0,0.7359291315078735,0.7359291315078735,0.0,'439.36826',,,,,,,,,,,,,,2.0,2.0,0.0,0.4210752844810486,0.4210752844810486,0.0,'438.89893',,'439.36826',,'438.89893',,,,95.0
images/exp1a_trial_44_colour3_distractors9_r.png,r,3,9,3,0,1.0,441.2830332699872,441.2830332699872,,1.0,1.0,0.0,3.0,3.0,0.0,0.7389864921569824,0.7389864921569824,0.0,'440.55167',,,,,,,,,,,,,,2.0,2.0,0.0,0.3885258138179779,0.3885258138179779,0.0,'440.11618',,'440.55167',,'440.11618',,,,96.0
images/exp1a_trial_290_colour1_distractors9_r.png,r,1,9,3,0,1.0,442.69973282298304,442.69973282298304,,1.0,1.0,0.0,3.0,3.0,0.0,1.0707107782363892,1.0707107782363892,0.0,'441.6323',,,,,,,,,,,,,,2.0,2.0,0.0,0.2863874137401581,0.2863874137401581,0.0,'441.2996',,'441.6323',,'441.2996',,,,97.0
images/exp1a_trial_141_colour3_distractors19_r.png,r,3,19,3,0,1.0,443.8658330179809,443.8658330179809,,1.0,1.0,0.0,3.0,3.0,0.0,0.7178436517715454,0.7178436517715454,0.0,'443.15146',,,,,,,,,,,,,,2.0,2.0,0.0,0.387641966342926,0.387641966342926,0.0,'442.7162',,'443.15146',,'442.7162',,,,98.0
images/exp2a_trial_160_colour1_distractors1_r.png,r,1,1,3,0,1.0,445.1999981769826,445.1999981769826,,1.0,1.0,0.0,3.0,3.0,0.0,0.6401653289794922,0.6401653289794922,0.0,'444.566',,,,,,,,,,,,,,2.0,2.0,0.0,0.63840252161026,0.63840252161026,0.0,'443.88278',,'444.566',,'443.88278',,,,99.0
images/exp2b_trial_314_colour3_distractors4_l.png,l,3,4,1,0,1.0,446.3332436159893,446.3332436159893,,1.0,1.0,0.0,1.0,1.0,0.0,0.6067665815353394,0.6067665815353394,0.0,'445.7331',,,,,,,,,,,,,,2.0,2.0,0.0,0.4701128900051117,0.4701128900051117,0.0,'445.2161',,'445.7331',,'445.2161',,,,100.0
